player,rank,tier,cliff,pct_drop,matches,modal_role,pred_pts_per_match,pred_season_total,mean_pts,median_pts,std_pts,floor_p10,ceiling_p90,cv,dud_rate,boom_rate,expected_games,games_confidence,batting_pts_pct,bowling_pts_pct,prev_total,gap,team_2025,typical_bat_pos,avg_overs_bowled
Mohammed Siraj,65,7,False,0.3,15,Pure Bowler,29.746641507798028,357.0,52.8,41.0,50.35757851888546,5.000000000000001,120.4,0.95,0.27,0.27,12.0,High,0.4,88.8,358.0,1.0,Gujarat Titans,11.0,3.8
Abdul Samad,66,7,False,1.7,13,Lower Middle Bat,35.08519074318096,351.0,30.846153846153847,14.0,29.04836815223348,6.0,66.80000000000001,0.94,0.54,0.23,10.0,Medium,72.8,0.2,357.0,6.0,Lucknow Super Giants,7.0,0.0
VG Arora,67,7,False,0.9,12,Pure Bowler,38.65420453010787,348.0,59.66666666666666,50.0,30.7374019524728,32.5,97.2,0.52,0.08,0.33,9.0,Medium,0.0,90.5,351.0,3.0,Kolkata Knight Riders,10.0,3.5
CV Varun,68,7,False,2.6,13,Pure Bowler,33.94370127306349,339.0,59.84615384615385,73.0,39.874482554314845,11.4,97.2,0.67,0.23,0.54,10.0,Medium,0.1,88.3,348.0,9.0,Kolkata Knight Riders,11.0,3.8
YS Chahal,69,7,False,0.3,13,Pure Bowler,33.84200939166604,338.0,49.76923076923077,37.0,49.89848669407695,5.600000000000001,133.00000000000006,1.0,0.31,0.23,10.0,Medium,0.0,91.7,339.0,1.0,Punjab Kings,,3.5
Yash Dayal,70,7,False,0.3,15,Pure Bowler,28.05698922939048,337.0,39.4,41.0,29.04380927397192,6.6000000000000005,84.6,0.74,0.33,0.2,12.0,High,0.7,89.2,338.0,1.0,Royal Challengers Bengaluru,10.0,3.3
MA Starc,71,7,False,0.9,12,Pure Bowler,37.117875514131,334.0,55.75,32.5,60.73508047249135,5.700000000000001,130.3,1.09,0.33,0.25,9.0,Medium,0.9,86.8,337.0,3.0,Delhi Capitals,9.0,3.2
MJ Santner,72,7,False,5.1,13,Pure Bowler,31.714738655015108,317.0,46.23076923076923,36.0,36.07666338543021,13.4,83.60000000000001,0.78,0.15,0.23,10.0,Medium,11.0,67.7,334.0,17.0,Mumbai Indians,8.0,3.0
R Shepherd,73,7,False,3.8,7,Other,60.99220586781015,305.0,59.285714285714285,46.0,40.58207439134626,26.0,104.8,0.68,0.14,0.43,5.0,Low,34.2,51.8,317.0,12.0,Royal Challengers Bengaluru,7.0,2.0
RG Sharma,74,8,False,3.6,15,Opener,24.48140994113481,294.0,58.53333333333333,35.0,57.97396788543072,13.8,152.0,0.99,0.13,0.27,12.0,High,89.7,0.0,305.0,11.0,Mumbai Indians,1.0,0.0
A Kamboj,75,8,False,1.7,8,Pure Bowler,48.10454417435888,289.0,49.5,51.0,35.04283093587046,9.2,77.69999999999999,0.71,0.25,0.12,6.0,Low,5.6,83.8,294.0,5.0,Chennai Super Kings,9.0,2.7
MP Stoinis,76,8,False,0.3,12,Other,32.034067771881546,288.0,34.0,23.0,30.08472883525642,7.2,76.0,0.88,0.33,0.17,9.0,Medium,72.1,12.7,289.0,1.0,Punjab Kings,7.0,1.2
Ashwani Kumar,77,8,False,1.0,7,Pure Bowler,56.91853928551844,285.0,63.0,52.0,52.389566391283175,22.200000000000003,114.80000000000004,0.83,0.14,0.43,5.0,Low,0.0,94.1,288.0,3.0,Mumbai Indians,,2.9
TM Head,78,8,False,0.7,12,Opener,31.41440412229454,283.0,68.66666666666667,44.0,57.41924500522187,12.8,149.3,0.84,0.17,0.42,9.0,Medium,87.1,0.0,285.0,2.0,Sunrisers Hyderabad,2.0,0.0
Arshad Khan,79,8,False,1.8,9,Pure Bowler,39.7714806105373,278.0,37.55555555555556,39.0,9.888264649460885,30.200000000000003,47.2,0.26,0.0,0.0,7.0,Medium,12.1,67.8,283.0,5.0,Gujarat Titans,9.0,2.3
R Tewatia,80,8,False,1.1,14,Lower Middle Bat,24.996103583276657,275.0,18.5,16.0,12.87663357821804,7.2,29.90000000000001,0.7,0.43,0.0,11.0,Medium,62.2,0.0,278.0,3.0,Gujarat Titans,6.0,0.0
SN Thakur,81,8,False,2.5,10,Pure Bowler,33.458494370562306,268.0,54.1,48.5,42.53743449402342,13.6,94.79999999999998,0.79,0.1,0.4,8.0,Medium,5.2,87.1,275.0,7.0,Lucknow Super Giants,7.0,3.4
DA Miller,82,8,False,0.4,10,Lower Middle Bat,33.31501018563732,267.0,32.7,31.5,18.12947262823102,10.8,59.2,0.55,0.2,0.1,8.0,Medium,72.5,0.0,268.0,1.0,Lucknow Super Giants,6.0,0.0
N Rana,83,8,False,1.1,11,Top Order Bat,29.287565089684293,264.0,44.63636363636363,21.0,56.05046427510253,12.0,109.0,1.26,0.36,0.27,9.0,Medium,85.3,0.0,267.0,3.0,Rajasthan Royals,3.0,0.2
Harpreet Brar,84,8,False,3.0,7,Pure Bowler,51.13125622025482,256.0,58.42857142857143,42.0,37.05337205913088,26.200000000000003,100.4,0.63,0.14,0.43,5.0,Low,4.2,90.0,264.0,8.0,Punjab Kings,10.0,3.1
KV Sharma,85,8,False,0.8,5,Pure Bowler,50.84727313889558,254.0,54.4,36.0,51.09598810082843,8.8,109.6,0.94,0.4,0.4,5.0,Low,0.4,90.1,256.0,2.0,Mumbai Indians,10.0,3.0
M Pathirana,86,8,False,1.2,12,Pure Bowler,27.87670976846386,251.0,46.333333333333336,53.0,38.14883134950969,5.1,89.30000000000001,0.82,0.42,0.42,9.0,Medium,0.0,89.9,254.0,3.0,Chennai Super Kings,,3.5
Mukesh Kumar,87,8,False,0.4,12,Pure Bowler,27.81620661042168,250.0,43.333333333333336,37.5,45.46193879266346,7.0,71.30000000000001,1.05,0.33,0.17,9.0,Medium,0.0,94.2,251.0,1.0,Delhi Capitals,,3.3
VR Iyer,88,8,False,1.6,8,Middle Order Bat,40.94805570870441,246.0,40.25,16.5,49.14628310317213,10.5,104.1,1.22,0.38,0.25,6.0,Low,75.2,0.0,250.0,4.0,Kolkata Knight Riders,5.0,0.0
JC Archer,89,8,False,0.0,12,Pure Bowler,27.32029461898,246.0,52.91666666666666,51.0,31.34401010874278,16.8,73.10000000000001,0.59,0.08,0.42,9.0,Medium,16.2,76.9,246.0,0.0,Rajasthan Royals,8.0,3.8
JD Unadkat,90,8,False,2.0,7,Pure Bowler,48.16258385568863,241.0,63.71428571428572,51.0,43.05699434359953,25.800000000000004,116.4,0.68,0.14,0.43,5.0,Low,0.0,89.7,246.0,5.0,Sunrisers Hyderabad,,3.4
E Malinga,91,8,False,0.0,7,Pure Bowler,48.29886697589339,241.0,72.28571428571429,79.0,25.499766572227585,39.0,94.8,0.35,0.0,0.71,5.0,Low,0.0,92.1,241.0,0.0,Sunrisers Hyderabad,,3.8
Kuldeep Yadav,92,8,False,1.2,14,Pure Bowler,21.675142193595285,238.0,48.285714285714285,47.5,37.13266977790804,8.0,90.8,0.77,0.36,0.36,11.0,Medium,3.8,85.5,241.0,3.0,Delhi Capitals,10.0,3.8
Washington Sundar,93,8,False,0.0,6,Other,47.51374366180692,238.0,60.16666666666666,50.0,34.781700169294005,29.0,101.5,0.58,0.0,0.5,5.0,Low,61.8,23.3,238.0,0.0,Gujarat Titans,4.0,1.8
D Padikkal,94,8,False,0.8,10,Top Order Bat,29.513169232350563,236.0,52.5,46.0,45.57594394707219,4.7,108.5,0.87,0.3,0.5,8.0,Medium,86.3,0.0,238.0,2.0,Royal Challengers Bengaluru,3.0,0.0
V Puthur,95,8,False,0.4,5,Pure Bowler,47.07991072659874,235.0,46.8,36.0,35.28030612112089,22.4,81.0,0.75,0.2,0.2,5.0,Low,0.0,88.9,236.0,1.0,Mumbai Indians,,2.4
A Mhatre,96,8,False,1.3,7,Opener,46.48817495067726,232.0,79.42857142857143,82.0,61.12789091420583,13.0,134.60000000000002,0.77,0.14,0.71,5.0,Low,84.2,0.0,235.0,3.0,Chennai Super Kings,1.0,0.0
SV Samson,97,8,False,0.9,9,Opener,32.795959255155545,230.0,66.11111111111111,69.0,38.87944329734045,24.6,113.6,0.59,0.0,0.56,7.0,Medium,83.9,0.0,232.0,2.0,Rajasthan Royals,2.0,0.0
Avesh Khan,98,8,False,0.0,13,Pure Bowler,23.010260806010628,230.0,43.69230769230769,40.0,31.19664676260526,9.400000000000002,66.80000000000001,0.71,0.15,0.23,10.0,Medium,6.9,85.7,230.0,0.0,Lucknow Super Giants,9.0,3.6
LS Livingstone,99,8,False,1.3,9,Middle Order Bat,32.43290769783739,227.0,37.55555555555556,18.0,40.345728123034014,4.4,91.2,1.07,0.44,0.22,7.0,Medium,57.4,20.7,230.0,3.0,Royal Challengers Bengaluru,5.0,1.0
V Shankar,100,8,False,2.6,5,Middle Order Bat,44.28706882141594,221.0,44.4,27.0,40.2715780669196,15.2,87.80000000000001,0.91,0.2,0.2,5.0,Low,82.9,0.0,227.0,6.0,Chennai Super Kings,4.0,0.0
Ravi Bishnoi,101,8,False,2.7,12,Pure Bowler,23.94224747645056,215.0,36.91666666666666,30.0,28.253586524814004,5.700000000000001,74.10000000000001,0.77,0.33,0.33,9.0,Medium,5.6,79.9,221.0,6.0,Lucknow Super Giants,8.0,3.1
PHKD Mendis,102,8,False,0.5,5,Bowling AR,42.72770267966389,214.0,51.4,56.0,46.48978382397578,4.2,98.2,0.9,0.4,0.4,5.0,Low,55.3,30.7,215.0,1.0,Sunrisers Hyderabad,7.0,1.4
V Suryavanshi,103,8,False,3.3,7,Opener,41.365528359061216,207.0,79.42857142857143,74.0,75.78007025345812,8.0,159.80000000000004,0.95,0.29,0.57,5.0,Low,90.3,0.0,214.0,7.0,Rajasthan Royals,2.0,0.0
SB Dubey,104,8,False,1.0,8,Lower Middle Bat,34.15185945952628,205.0,29.75,21.5,24.33545326708105,9.2,61.3,0.82,0.25,0.12,6.0,Low,78.2,0.0,207.0,2.0,Rajasthan Royals,7.0,0.0
GJ Maxwell,105,8,False,5.9,7,Bowling AR,38.576624345597175,193.0,42.57142857142857,43.0,25.039017172253008,13.8,69.2,0.59,0.14,0.29,5.0,Low,25.5,52.3,205.0,12.0,Punjab Kings,6.0,1.9
TU Deshpande,106,8,False,4.1,10,Pure Bowler,23.17374674592707,185.0,37.0,30.0,36.00925806881706,0.9,75.89999999999999,0.97,0.4,0.3,8.0,Medium,1.9,90.0,193.0,8.0,Rajasthan Royals,10.0,3.2
DS Rathi,107,8,False,0.0,13,Pure Bowler,18.501633247911776,185.0,46.84615384615385,48.0,24.3133918991371,14.6,74.0,0.52,0.15,0.31,10.0,Medium,0.2,87.7,185.0,0.0,Lucknow Super Giants,11.0,4.0
Azmatullah Omarzai,108,8,False,4.9,8,Pure Bowler,29.36050043889217,176.0,51.625,43.5,30.51902217119209,23.8,84.69999999999999,0.59,0.12,0.38,6.0,Low,24.0,71.2,185.0,9.0,Punjab Kings,8.0,3.4
